#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,prediction,combined_score
CUL1,GSK3B,1850867,1850681,9606.ENSP00000326804,9606.ENSP00000324806,0,0,0,0,0.088,0.149,0,0.507,0,0.584
RPS11,PSMC4,1846167,1842267,9606.ENSP00000270625,9606.ENSP00000157812,0,0,0,0,0,0.577,0,0.058,0,0.584
MDM2,PSMC3,1861282,1847998,9606.ENSP00000417281,9606.ENSP00000298852,0,0,0,0,0,0.584,0,0,0,0.584
MDM2,PSMA6,1861282,1844920,9606.ENSP00000417281,9606.ENSP00000261479,0,0,0,0,0,0.584,0,0,0,0.584
CCNE1,PSMA6,1845190,1844920,9606.ENSP00000262643,9606.ENSP00000261479,0,0,0,0,0,0.572,0,0.067,0,0.583
FKBP1A,TSC1,1857423,1847972,9606.ENSP00000371138,9606.ENSP00000298552,0,0,0,0,0,0,0,0.583,0,0.583
PSMD13,EIF3F,1859976,1849251,9606.ENSP00000396937,9606.ENSP00000310040,0,0,0,0,0.157,0.442,0,0.185,0,0.583
CDKN2A,CTNNB1,1859838,1852818,9606.ENSP00000394932,9606.ENSP00000344456,0,0,0,0,0,0,0,0.582,0,0.582
RPS26,NEDD8,1853363,1844012,9606.ENSP00000348849,9606.ENSP00000250495,0,0,0,0,0.178,0.511,0,0,0,0.581
SRC,CDKN1A,1853652,1843736,9606.ENSP00000350941,9606.ENSP00000244741,0,0,0,0,0,0,0,0.581,0,0.581
RICTOR,RBX1,1853522,1842568,9606.ENSP00000349959,9606.ENSP00000216225,0,0,0,0,0,0.57,0,0.067,0,0.581
EGFR,SMAD2,1846445,1845079,9606.ENSP00000275493,9606.ENSP00000262160,0,0,0,0,0,0,0,0.581,0,0.581
JUN,PTK2,1855436,1852426,9606.ENSP00000360266,9606.ENSP00000341189,0,0,0,0,0,0,0,0.581,0,0.581
EIF4E,TP53,1861659,1846083,9606.ENSP00000425561,9606.ENSP00000269305,0,0,0,0,0,0,0,0.581,0,0.581
NCF2,SRC,1854612,1853652,9606.ENSP00000356505,9606.ENSP00000350941,0,0,0,0,0,0,0,0.58,0,0.58
IRS1,TSC1,1848682,1847972,9606.ENSP00000304895,9606.ENSP00000298552,0,0,0,0,0,0,0,0.58,0,0.58
EIF4E,GSK3B,1861659,1850681,9606.ENSP00000425561,9606.ENSP00000324806,0,0,0,0,0,0,0,0.579,0,0.579
CDH1,CDKN1B,1844988,1843169,9606.ENSP00000261769,9606.ENSP00000228872,0,0,0,0,0,0,0,0.579,0,0.579
MTOR,CDH1,1854147,1844988,9606.ENSP00000354558,9606.ENSP00000261769,0,0,0,0,0,0,0,0.579,0,0.579
RPS15,MDM2,1863987,1861282,9606.ENSP00000467676,9606.ENSP00000417281,0,0,0,0,0,0.57,0,0.059,0,0.578
EIF4EBP1,GSK3B,1852358,1850681,9606.ENSP00000340691,9606.ENSP00000324806,0,0,0,0,0,0.113,0,0.544,0,0.578
MDM2,PSMA7,1861282,1855365,9606.ENSP00000417281,9606.ENSP00000359910,0,0,0,0,0,0.577,0,0,0,0.577
CDKN2A,HSP90AA1,1859838,1851814,9606.ENSP00000394932,9606.ENSP00000335153,0,0,0,0,0,0.18,0,0.505,0,0.577
